Step 1, Loss: 12.103520393371582
Step 2, Loss: 12.070747375488281
Step 3, Loss: 12.038512229919434
Step 4, Loss: 12.001483917236328
Step 5, Loss: 11.96054458618164
Step 6, Loss: 11.926422119140625
Step 7, Loss: 11.902320861816406
Step 8, Loss: 11.8698148727417
Step 9, Loss: 11.82646369934082
Step 10, Loss: 11.7650146484375
Step 11, Loss: 11.69605827331543
Step 12, Loss: 11.61810302734375
Step 13, Loss: 11.512735366821289
Step 14, Loss: 11.368379592895508
Step 15, Loss: 11.187652587890625
Step 16, Loss: 10.986795425415039
Step 17, Loss: 10.737085342407227
Step 18, Loss: 10.500232696533203
Step 19, Loss: 10.234088897705078
Step 20, Loss: 9.896278381347656
Step 21, Loss: 9.699790954589844
Step 22, Loss: 9.520923614501953
Step 23, Loss: 9.485453605651855
Step 24, Loss: 9.444639205932617
Step 25, Loss: 9.382959365844727
Step 26, Loss: 9.27402114868164
Step 27, Loss: 9.1508150100708
Step 28, Loss: 8.915294647216797
Step 29, Loss: 8.86760425567627
Step 30, Loss: 8.856162071228027
Step 31, Loss: 8.901487350463867
Step 32, Loss: 8.808710098266602
Step 33, Loss: 8.800439834594727
Step 34, Loss: 8.724270820617676
Step 35, Loss: 8.666845321655273
Step 36, Loss: 8.582191467285156
Step 37, Loss: 8.511688232421875
Step 38, Loss: 8.419441223144531
Step 39, Loss: 8.385411262512207
Step 40, Loss: 8.371858596801758
Step 41, Loss: 8.358125686645508
Step 42, Loss: 8.26212215423584
Step 43, Loss: 8.211709022521973
Step 44, Loss: 8.163702011108398
Step 45, Loss: 8.054686546325684
Step 46, Loss: 8.031810760498047
Step 47, Loss: 7.950263977050781
Step 48, Loss: 7.958428382873535
Step 49, Loss: 7.855630874633789
Step 50, Loss: 7.789081573486328
Step 51, Loss: 7.756828784942627
Step 52, Loss: 7.635425567626953
Step 53, Loss: 7.700798988342285
Step 54, Loss: 7.508319854736328
Step 55, Loss: 7.574948310852051
Step 56, Loss: 7.374942302703857
Step 57, Loss: 7.457213401794434
Step 58, Loss: 7.426273822784424
Step 59, Loss: 7.226731300354004
Step 60, Loss: 7.20748233795166
Step 61, Loss: 7.312094688415527
Step 62, Loss: 7.362727165222168
Step 63, Loss: 7.321534633636475
Step 64, Loss: 7.178443431854248
Step 65, Loss: 7.358709335327148
Step 66, Loss: 7.12758731842041
Step 67, Loss: 7.201048851013184
Step 68, Loss: 7.169312953948975
Step 69, Loss: 6.9949517250061035
Step 70, Loss: 7.185320854187012
Step 71, Loss: 6.9657793045043945
Step 72, Loss: 7.039650917053223
Step 73, Loss: 7.104249954223633
Step 74, Loss: 7.11110782623291
Step 75, Loss: 7.012937068939209
Step 76, Loss: 7.112964630126953
Step 77, Loss: 7.074647426605225
Step 78, Loss: 7.0661115646362305
Step 79, Loss: 6.898166179656982
Step 80, Loss: 7.0698561668396
Step 81, Loss: 7.059952259063721
Step 82, Loss: 6.989983081817627
Step 83, Loss: 6.9143266677856445
Step 84, Loss: 7.046685695648193
Step 85, Loss: 6.996414661407471
Step 86, Loss: 6.912936687469482
Step 87, Loss: 6.89807653427124
Step 88, Loss: 6.886208534240723
Step 89, Loss: 6.900912284851074
Step 90, Loss: 6.979211330413818
Step 91, Loss: 6.982852935791016
Step 92, Loss: 6.7545318603515625
Step 93, Loss: 7.034461975097656
Step 94, Loss: 7.027024745941162
Step 95, Loss: 6.9909844398498535
Step 96, Loss: 6.940505027770996
Step 97, Loss: 6.736300468444824
Step 98, Loss: 6.685202121734619
Step 99, Loss: 6.9195051193237305
Step 100, Loss: 6.830085277557373
Step 101, Loss: 6.91075325012207
Step 102, Loss: 6.851825714111328
Step 103, Loss: 6.784373760223389
Step 104, Loss: 6.8854851722717285
Step 105, Loss: 6.840463638305664
Step 106, Loss: 6.741997718811035
Step 107, Loss: 6.905880451202393
Step 108, Loss: 6.9442667961120605
Step 109, Loss: 6.741755485534668
Step 110, Loss: 6.796942710876465
Step 111, Loss: 6.8894453048706055
Step 112, Loss: 6.829840660095215
Step 113, Loss: 6.665642738342285
Step 114, Loss: 6.787283420562744
Step 115, Loss: 6.8739166259765625
Step 116, Loss: 6.725037574768066
Step 117, Loss: 6.858025074005127
Step 118, Loss: 6.794293403625488
Step 119, Loss: 6.6998772621154785
Step 120, Loss: 6.736624240875244
Step 121, Loss: 6.822878360748291
Step 122, Loss: 6.839276313781738
Step 123, Loss: 6.757298946380615
Step 124, Loss: 6.770898342132568
Step 125, Loss: 6.759442329406738
Step 126, Loss: 6.8325724601745605
Step 127, Loss: 6.8278961181640625
Step 128, Loss: 6.793251991271973
Step 129, Loss: 6.731844425201416
Step 130, Loss: 6.776181221008301
Step 131, Loss: 6.8501057624816895
Step 132, Loss: 6.667794227600098
Step 133, Loss: 6.792577266693115
Step 134, Loss: 6.784068584442139
Step 135, Loss: 6.842198848724365
Step 136, Loss: 6.76043176651001
Step 137, Loss: 6.795810699462891
Step 138, Loss: 6.714943885803223
Step 139, Loss: 6.740486145019531
Step 140, Loss: 6.724293231964111
Step 141, Loss: 6.915157794952393
Step 142, Loss: 6.733951568603516
Step 143, Loss: 6.803587913513184
Step 144, Loss: 6.756103515625
Step 145, Loss: 6.730439186096191
Step 146, Loss: 6.754004001617432
Step 147, Loss: 6.841262340545654
Step 148, Loss: 6.743529319763184
Step 149, Loss: 6.796370983123779
Step 150, Loss: 6.8521294593811035
Step 151, Loss: 7.086154460906982
Step 152, Loss: 6.925198078155518
Step 153, Loss: 6.788458347320557
Step 154, Loss: 6.807096481323242
Step 155, Loss: 6.737799644470215
Step 156, Loss: 6.768714427947998
Step 157, Loss: 6.8096137046813965
Step 158, Loss: 6.6942853927612305
Step 159, Loss: 6.660272598266602
Step 160, Loss: 6.775557994842529
Step 161, Loss: 6.709124565124512
Step 162, Loss: 6.78539514541626
Step 163, Loss: 6.675023078918457
Step 164, Loss: 6.731308460235596
Step 165, Loss: 6.71678352355957
Step 166, Loss: 6.788818836212158
Step 167, Loss: 6.730478286743164
Step 168, Loss: 6.839200019836426
Step 169, Loss: 6.796753406524658
Step 170, Loss: 6.821640491485596
Step 171, Loss: 6.710543155670166
Step 172, Loss: 6.779119491577148
Step 173, Loss: 6.7740068435668945
Step 174, Loss: 6.934036731719971
Step 175, Loss: 6.692196369171143
Step 176, Loss: 6.811633110046387
Step 177, Loss: 6.781246185302734
Step 178, Loss: 6.614734172821045
Step 179, Loss: 6.699125289916992
Step 180, Loss: 6.888689041137695
Step 181, Loss: 6.805028438568115
Step 182, Loss: 6.6550984382629395
Step 183, Loss: 6.644756317138672
Step 184, Loss: 6.748490810394287
Step 185, Loss: 6.773355484008789
Step 186, Loss: 6.67641019821167
Step 187, Loss: 6.63796854019165
Step 188, Loss: 6.814174652099609
Step 189, Loss: 6.597234725952148
Step 190, Loss: 6.667647361755371
Step 191, Loss: 6.844974040985107
Step 192, Loss: 6.6647491455078125
Step 193, Loss: 6.773369789123535
Step 194, Loss: 6.651120185852051
Step 195, Loss: 6.785945415496826
Step 196, Loss: 6.750970840454102
Step 197, Loss: 6.737669944763184
Step 198, Loss: 6.8317952156066895
Step 199, Loss: 6.717914581298828
Step 200, Loss: 6.65479850769043
Step 201, Loss: 6.8242411613464355
Step 202, Loss: 6.658106327056885
Step 203, Loss: 6.823131561279297
Step 204, Loss: 6.780516624450684
Step 205, Loss: 6.699747085571289
Step 206, Loss: 6.783225059509277
Step 207, Loss: 6.695329666137695
Step 208, Loss: 6.711014270782471
Step 209, Loss: 6.615060329437256
Step 210, Loss: 6.680361747741699
Step 211, Loss: 6.714264869689941
Step 212, Loss: 6.817959308624268
Step 213, Loss: 6.63414192199707
Step 214, Loss: 6.537213325500488
Step 215, Loss: 6.682872772216797
Step 216, Loss: 6.856269836425781
Step 217, Loss: 6.806495666503906
Step 218, Loss: 6.6445441246032715
Step 219, Loss: 6.799645900726318
Step 220, Loss: 6.909124374389648
Step 221, Loss: 6.702253341674805
Step 222, Loss: 6.858917236328125
Step 223, Loss: 6.792376518249512
Step 224, Loss: 6.746173858642578
Step 225, Loss: 6.83254861831665
Step 226, Loss: 6.734477996826172
Step 227, Loss: 6.7435383796691895
Step 228, Loss: 6.828056812286377
Step 229, Loss: 6.59286642074585
Step 230, Loss: 6.788182258605957
Step 231, Loss: 6.771038055419922
Step 232, Loss: 6.869536399841309
Step 233, Loss: 6.701030254364014
Step 234, Loss: 6.6352458000183105
Step 235, Loss: 6.7040605545043945
Step 236, Loss: 6.5908942222595215
Step 237, Loss: 6.670175075531006
Step 238, Loss: 6.744165897369385
Step 239, Loss: 6.628273010253906
Step 240, Loss: 6.823497295379639
Step 241, Loss: 6.742162704467773
Step 242, Loss: 6.758091926574707
Step 243, Loss: 6.682862281799316
Step 244, Loss: 6.771210670471191
Step 245, Loss: 6.671231746673584
Step 246, Loss: 6.784116744995117
Step 247, Loss: 6.754453659057617
Step 248, Loss: 6.678614139556885
Step 249, Loss: 6.791058540344238
Step 250, Loss: 6.645051002502441
Step 251, Loss: 6.699722766876221
Step 252, Loss: 6.701379299163818
Step 253, Loss: 6.780052185058594
Step 254, Loss: 6.642837047576904
Step 255, Loss: 6.523158073425293
Step 256, Loss: 6.917263984680176
Step 257, Loss: 6.749867916107178
Step 258, Loss: 6.836892127990723
Step 259, Loss: 6.7131547927856445
Step 260, Loss: 6.719479560852051
Step 261, Loss: 6.564211845397949
Step 262, Loss: 6.606251239776611
Step 263, Loss: 6.701430797576904
Step 264, Loss: 6.849976539611816
Step 265, Loss: 6.680883884429932
Step 266, Loss: 6.684484958648682
Step 267, Loss: 6.593263626098633
Step 268, Loss: 6.656951904296875
Step 269, Loss: 6.789183616638184
Step 270, Loss: 6.598621845245361
Step 271, Loss: 6.661254405975342
Step 272, Loss: 6.72587776184082
Step 273, Loss: 6.666629791259766
Step 274, Loss: 6.550786972045898
Step 275, Loss: 6.581759452819824
Step 276, Loss: 6.829320907592773
Step 277, Loss: 6.762246131896973
Step 278, Loss: 6.770906925201416
Step 279, Loss: 6.693049430847168
Step 280, Loss: 6.640877723693848
Step 281, Loss: 6.6704535484313965
Step 282, Loss: 6.778026580810547
Step 283, Loss: 6.535003185272217
Step 284, Loss: 6.552088737487793
Step 285, Loss: 6.698394775390625
Step 286, Loss: 6.685204982757568
Step 287, Loss: 6.582273483276367
Step 288, Loss: 6.725653171539307
Step 289, Loss: 6.76278018951416
Step 290, Loss: 6.75990629196167
Step 291, Loss: 6.620750904083252
Step 292, Loss: 6.643362045288086
Step 293, Loss: 6.672562599182129
Step 294, Loss: 6.821893692016602
Step 295, Loss: 6.7531514167785645
Step 296, Loss: 6.761135101318359
Step 297, Loss: 6.710893630981445
Step 298, Loss: 6.677966117858887
Step 299, Loss: 6.70046854019165
Step 300, Loss: 6.578063011169434
Step 301, Loss: 6.707729816436768
Step 302, Loss: 6.6584248542785645
Step 303, Loss: 6.691763877868652
Step 304, Loss: 6.7267680168151855
Step 305, Loss: 6.683306694030762
Step 306, Loss: 6.688140392303467
Step 307, Loss: 6.655322551727295
Step 308, Loss: 6.7070512771606445
Step 309, Loss: 6.786424160003662
Step 310, Loss: 6.766048431396484
Step 311, Loss: 6.708619594573975
Step 312, Loss: 6.743514060974121
Step 313, Loss: 6.740755558013916
Step 314, Loss: 6.6898698806762695
Step 315, Loss: 6.708146095275879
Step 316, Loss: 6.682825565338135
Step 317, Loss: 6.648972511291504
Step 318, Loss: 6.811694145202637
Step 319, Loss: 6.555362701416016
Step 320, Loss: 6.713916301727295
Step 321, Loss: 6.67471981048584
Step 322, Loss: 6.72941780090332
Step 323, Loss: 6.5577521324157715
Step 324, Loss: 6.682725429534912
Step 325, Loss: 6.677842140197754
Step 326, Loss: 6.426294803619385
Step 327, Loss: 6.670927047729492
Step 328, Loss: 6.71204137802124
Step 329, Loss: 6.504720687866211
Step 330, Loss: 6.769898891448975
Step 331, Loss: 6.631434440612793
Step 332, Loss: 6.746029376983643
Step 333, Loss: 6.616587162017822
Step 334, Loss: 6.622296333312988
Step 335, Loss: 6.759308815002441
Step 336, Loss: 6.668240547180176
Step 337, Loss: 6.72230863571167
Step 338, Loss: 7.024684906005859
Step 339, Loss: 6.803756237030029
Step 340, Loss: 6.610967636108398
Step 341, Loss: 6.6508259773254395
Step 342, Loss: 6.693461894989014
Step 343, Loss: 6.706833362579346
Step 344, Loss: 6.619758605957031
Step 345, Loss: 6.779664039611816
Step 346, Loss: 6.705451011657715
