Step 1, Loss: 12.72022533416748
Step 2, Loss: 11.93397045135498
Step 3, Loss: 11.601066589355469
Step 4, Loss: 11.133108139038086
Step 5, Loss: 10.887105941772461
Step 6, Loss: 10.51435375213623
Step 7, Loss: 10.298946380615234
Step 8, Loss: 10.00493049621582
Step 9, Loss: 9.542679786682129
Step 10, Loss: 9.110821723937988
Step 11, Loss: 8.910900115966797
Step 12, Loss: 8.557141304016113
Step 13, Loss: 8.507354736328125
Step 14, Loss: 7.997951984405518
Step 15, Loss: 7.829565525054932
Step 16, Loss: 7.781342029571533
Step 17, Loss: 7.594708442687988
Step 18, Loss: 7.339526653289795
Step 19, Loss: 7.062154293060303
Step 20, Loss: 7.104353427886963
Step 21, Loss: 6.8401288986206055
Step 22, Loss: 6.685546875
Step 23, Loss: 6.3545942306518555
Step 24, Loss: 6.110334396362305
Step 25, Loss: 5.944742202758789
Step 26, Loss: 6.078104496002197
Step 27, Loss: 6.110864639282227
Step 28, Loss: 5.85125732421875
Step 29, Loss: 5.78945255279541
Step 30, Loss: 5.676025390625
Step 31, Loss: 5.636876583099365
Step 32, Loss: 5.469878196716309
Step 33, Loss: 5.413337230682373
Step 34, Loss: 5.319362640380859
Step 35, Loss: 5.349512100219727
Step 36, Loss: 5.159231662750244
Step 37, Loss: 5.30571174621582
Step 38, Loss: 4.984207630157471
Step 39, Loss: 4.940213680267334
Step 40, Loss: 4.849098205566406
Step 41, Loss: 4.743743419647217
Step 42, Loss: 4.788708209991455
Step 43, Loss: 4.638360977172852
Step 44, Loss: 4.497044086456299
Step 45, Loss: 4.5610761642456055
Step 46, Loss: 4.3209662437438965
Step 47, Loss: 4.446341037750244
Step 48, Loss: 4.466925621032715
Step 49, Loss: 4.482032775878906
Step 50, Loss: 4.220078945159912
Step 51, Loss: 4.364591598510742
Step 52, Loss: 4.223002910614014
Step 53, Loss: 4.294088363647461
Step 54, Loss: 4.168408393859863
Step 55, Loss: 4.435559272766113
Step 56, Loss: 4.025138854980469
Step 57, Loss: 4.145053863525391
Step 58, Loss: 4.108952522277832
Step 59, Loss: 4.16281270980835
Step 60, Loss: 4.189600467681885
Step 61, Loss: 4.105530261993408
Step 62, Loss: 4.02887487411499
Step 63, Loss: 4.051049709320068
Step 64, Loss: 3.916489601135254
Step 65, Loss: 4.16517972946167
Step 66, Loss: 3.946786403656006
Step 67, Loss: 4.042201042175293
Step 68, Loss: 3.9592361450195312
Step 69, Loss: 3.9192657470703125
Step 70, Loss: 3.9109621047973633
Step 71, Loss: 3.797548532485962
Step 72, Loss: 3.954691171646118
Step 73, Loss: 3.8870017528533936
Step 74, Loss: 3.8012430667877197
Step 75, Loss: 3.804352283477783
Step 76, Loss: 3.930049180984497
Step 77, Loss: 3.799996852874756
Step 78, Loss: 3.7661197185516357
Step 79, Loss: 3.840437650680542
Step 80, Loss: 3.8491878509521484
Step 81, Loss: 3.8117265701293945
Step 82, Loss: 3.8972671031951904
Step 83, Loss: 3.7913663387298584
Step 84, Loss: 3.9249722957611084
Step 85, Loss: 3.877964735031128
Step 86, Loss: 3.7924344539642334
Step 87, Loss: 3.8525848388671875
Step 88, Loss: 3.9731850624084473
Step 89, Loss: 3.7327208518981934
Step 90, Loss: 3.624537467956543
Step 91, Loss: 3.6896865367889404
Step 92, Loss: 3.719919443130493
Step 93, Loss: 3.5974650382995605
Step 94, Loss: 3.809504747390747
Step 95, Loss: 3.7592263221740723
Step 96, Loss: 3.6242599487304688
Step 97, Loss: 3.7874507904052734
Step 98, Loss: 3.6683244705200195
Step 99, Loss: 3.6866326332092285
Step 100, Loss: 3.788029193878174
Step 101, Loss: 3.5561819076538086
Step 102, Loss: 3.625185966491699
Step 103, Loss: 3.684441566467285
Step 104, Loss: 3.7053112983703613
Step 105, Loss: 3.625507354736328
Step 106, Loss: 3.589362382888794
Step 107, Loss: 3.619763135910034
Step 108, Loss: 3.755068778991699
Step 109, Loss: 3.7865066528320312
Step 110, Loss: 3.708334445953369
Step 111, Loss: 3.757369041442871
Step 112, Loss: 3.684206485748291
Step 113, Loss: 3.6794567108154297
Step 114, Loss: 3.579507350921631
Step 115, Loss: 3.648534059524536
Step 116, Loss: 3.6145782470703125
Step 117, Loss: 3.629708766937256
Step 118, Loss: 3.5171399116516113
Step 119, Loss: 3.566237211227417
Step 120, Loss: 3.5609984397888184
Step 121, Loss: 3.674889087677002
Step 122, Loss: 3.757584571838379
Step 123, Loss: 3.6964142322540283
Step 124, Loss: 3.4351093769073486
Step 125, Loss: 3.544038772583008
Step 126, Loss: 3.628779411315918
Step 127, Loss: 3.6726696491241455
Step 128, Loss: 3.5946381092071533
Step 129, Loss: 3.610177755355835
Step 130, Loss: 3.497494697570801
Step 131, Loss: 3.4705655574798584
Step 132, Loss: 3.4654393196105957
Step 133, Loss: 3.6076488494873047
Step 134, Loss: 3.4896645545959473
Step 135, Loss: 3.4803295135498047
Step 136, Loss: 3.5528197288513184
Step 137, Loss: 3.5590436458587646
Step 138, Loss: 3.476816177368164
Step 139, Loss: 3.4301681518554688
Step 140, Loss: 3.4611148834228516
Step 141, Loss: 3.4381799697875977
Step 142, Loss: 3.7145519256591797
Step 143, Loss: 3.4969019889831543
Step 144, Loss: 3.448331356048584
Step 145, Loss: 3.450873851776123
Step 146, Loss: 3.400357723236084
Step 147, Loss: 3.4353373050689697
Step 148, Loss: 3.504385471343994
Step 149, Loss: 3.5169410705566406
Step 150, Loss: 3.426267385482788
Step 151, Loss: 3.527467727661133
Step 152, Loss: 3.4678468704223633
Step 153, Loss: 3.4830942153930664
Step 154, Loss: 3.3247170448303223
Step 155, Loss: 3.4158055782318115
Step 156, Loss: 3.375107765197754
Step 157, Loss: 3.3753695487976074
Step 158, Loss: 3.5039918422698975
Step 159, Loss: 3.4972128868103027
Step 160, Loss: 3.393315553665161
Step 161, Loss: 3.468567371368408
Step 162, Loss: 3.475660800933838
Step 163, Loss: 3.428684711456299
Step 164, Loss: 3.4302868843078613
Step 165, Loss: 3.393380641937256
Step 166, Loss: 3.4380578994750977
Step 167, Loss: 3.3406548500061035
Step 168, Loss: 3.359834671020508
Step 169, Loss: 3.474379062652588
Step 170, Loss: 3.406583547592163
Step 171, Loss: 3.4166202545166016
Step 172, Loss: 3.332928419113159
Step 173, Loss: 3.437027931213379
Step 174, Loss: 3.380974769592285
Step 175, Loss: 3.4299325942993164
Step 176, Loss: 3.4013867378234863
Step 177, Loss: 3.411652088165283
Step 178, Loss: 3.5174436569213867
Step 179, Loss: 3.3263895511627197
Step 180, Loss: 3.335366725921631
Step 181, Loss: 3.3913393020629883
Step 182, Loss: 3.51680850982666
Step 183, Loss: 3.3942770957946777
Step 184, Loss: 3.453545093536377
Step 185, Loss: 3.397850513458252
Step 186, Loss: 3.273937702178955
Step 187, Loss: 3.3548266887664795
Step 188, Loss: 3.335338592529297
Step 189, Loss: 3.2672367095947266
Step 190, Loss: 3.2832024097442627
Step 191, Loss: 3.47857666015625
Step 192, Loss: 3.2359232902526855
Step 193, Loss: 3.3110992908477783
Step 194, Loss: 3.2987992763519287
Step 195, Loss: 3.3298044204711914
Step 196, Loss: 3.3201327323913574
Step 197, Loss: 3.4317843914031982
Step 198, Loss: 3.339580535888672
Step 199, Loss: 3.449287176132202
Step 200, Loss: 3.314972162246704
Step 201, Loss: 3.351381778717041
Step 202, Loss: 3.197096824645996
Step 203, Loss: 3.256544589996338
Step 204, Loss: 3.1523187160491943
Step 205, Loss: 3.3039557933807373
Step 206, Loss: 3.2647600173950195
