Step 1, Loss: 12.35196590423584
Step 2, Loss: 11.59255599975586
Step 3, Loss: 10.98009204864502
Step 4, Loss: 10.57559871673584
Step 5, Loss: 10.210165023803711
Step 6, Loss: 9.764228820800781
Step 7, Loss: 9.43282699584961
Step 8, Loss: 9.15361499786377
Step 9, Loss: 8.915619850158691
Step 10, Loss: 8.871363639831543
Step 11, Loss: 8.726487159729004
Step 12, Loss: 8.556358337402344
Step 13, Loss: 8.4514741897583
Step 14, Loss: 8.303350448608398
Step 15, Loss: 8.209199905395508
Step 16, Loss: 8.086753845214844
Step 17, Loss: 7.9191694259643555
Step 18, Loss: 7.776876449584961
Step 19, Loss: 7.704738616943359
Step 20, Loss: 7.557268142700195
Step 21, Loss: 7.3876729011535645
Step 22, Loss: 7.231954097747803
Step 23, Loss: 7.068924427032471
Step 24, Loss: 6.83711576461792
Step 25, Loss: 6.689169883728027
Step 26, Loss: 6.5175275802612305
Step 27, Loss: 6.367884635925293
Step 28, Loss: 6.130485534667969
Step 29, Loss: 5.973699569702148
Step 30, Loss: 5.82224178314209
Step 31, Loss: 5.692739486694336
Step 32, Loss: 5.528319358825684
Step 33, Loss: 5.359616756439209
Step 34, Loss: 5.229435443878174
Step 35, Loss: 5.055547714233398
Step 36, Loss: 4.972286224365234
Step 37, Loss: 4.710855007171631
Step 38, Loss: 4.6002984046936035
Step 39, Loss: 4.564876556396484
Step 40, Loss: 4.318331718444824
Step 41, Loss: 4.278663635253906
Step 42, Loss: 4.072117328643799
Step 43, Loss: 4.068220615386963
Step 44, Loss: 3.976069211959839
Step 45, Loss: 3.85382080078125
Step 46, Loss: 3.826850175857544
Step 47, Loss: 3.8691229820251465
Step 48, Loss: 3.7503089904785156
Step 49, Loss: 3.6591413021087646
Step 50, Loss: 3.5731875896453857
Step 51, Loss: 3.478545665740967
Step 52, Loss: 3.4897537231445312
Step 53, Loss: 3.390444755554199
Step 54, Loss: 3.4125187397003174
Step 55, Loss: 3.2819042205810547
Step 56, Loss: 3.291874885559082
Step 57, Loss: 3.208373546600342
Step 58, Loss: 3.199181079864502
Step 59, Loss: 3.137486457824707
Step 60, Loss: 3.099766254425049
Step 61, Loss: 3.1275625228881836
Step 62, Loss: 3.147390604019165
Step 63, Loss: 3.044426202774048
Step 64, Loss: 3.115035057067871
Step 65, Loss: 2.9954700469970703
Step 66, Loss: 2.9472620487213135
Step 67, Loss: 2.9283714294433594
Step 68, Loss: 2.9192183017730713
Step 69, Loss: 2.910069465637207
Step 70, Loss: 2.878824472427368
Step 71, Loss: 2.883279323577881
Step 72, Loss: 2.9110870361328125
Step 73, Loss: 2.841214656829834
Step 74, Loss: 2.7910568714141846
Step 75, Loss: 2.799440622329712
Step 76, Loss: 2.79756236076355
Step 77, Loss: 2.7644829750061035
Step 78, Loss: 2.821535110473633
Step 79, Loss: 2.7964749336242676
Step 80, Loss: 2.683037519454956
Step 81, Loss: 2.7224934101104736
Step 82, Loss: 2.7431228160858154
Step 83, Loss: 2.6601014137268066
Step 84, Loss: 2.6996800899505615
Step 85, Loss: 2.6371843814849854
Step 86, Loss: 2.744384288787842
Step 87, Loss: 2.697695255279541
Step 88, Loss: 2.6982882022857666
Step 89, Loss: 2.6700901985168457
Step 90, Loss: 2.64127516746521
Step 91, Loss: 2.667292833328247
Step 92, Loss: 2.6063385009765625
Step 93, Loss: 2.675628662109375
Step 94, Loss: 2.5909390449523926
Step 95, Loss: 2.597609519958496
Step 96, Loss: 2.545872211456299
Step 97, Loss: 2.5754623413085938
Step 98, Loss: 2.549207925796509
Step 99, Loss: 2.564218521118164
Step 100, Loss: 2.5952539443969727
Step 101, Loss: 2.565138816833496
Step 102, Loss: 2.5934624671936035
Step 103, Loss: 2.61466383934021
Step 104, Loss: 2.550964593887329
Step 105, Loss: 2.482969284057617
Step 106, Loss: 2.508030414581299
Step 107, Loss: 2.565704822540283
Step 108, Loss: 2.5511884689331055
Step 109, Loss: 2.499466896057129
Step 110, Loss: 2.460294246673584
Step 111, Loss: 2.564265489578247
Step 112, Loss: 2.5097713470458984
Step 113, Loss: 2.5051159858703613
Step 114, Loss: 2.520676612854004
Step 115, Loss: 2.4187631607055664
Step 116, Loss: 2.528017520904541
Step 117, Loss: 2.4738717079162598
Step 118, Loss: 2.4523651599884033
Step 119, Loss: 2.3753695487976074
Step 120, Loss: 2.4430665969848633
Step 121, Loss: 2.4113779067993164
Step 122, Loss: 2.3793468475341797
Step 123, Loss: 2.3897297382354736
Step 124, Loss: 2.3799920082092285
Step 125, Loss: 2.398128032684326
Step 126, Loss: 2.4054770469665527
Step 127, Loss: 2.384563446044922
Step 128, Loss: 2.3419313430786133
Step 129, Loss: 2.279707670211792
Step 130, Loss: 2.3340249061584473
Step 131, Loss: 2.2307071685791016
Step 132, Loss: 2.262766122817993
Step 133, Loss: 2.332118511199951
Step 134, Loss: 2.182145595550537
Step 135, Loss: 2.378129482269287
Step 136, Loss: 2.219386100769043
Step 137, Loss: 2.2921557426452637
Step 138, Loss: 2.2019312381744385
Step 139, Loss: 2.235383987426758
Step 140, Loss: 2.159747838973999
Step 141, Loss: 2.1878981590270996
Step 142, Loss: 2.146601438522339
Step 143, Loss: 2.123741865158081
Step 144, Loss: 2.086397647857666
Step 145, Loss: 2.157222270965576
Step 146, Loss: 2.051809072494507
Step 147, Loss: 2.117115020751953
Step 148, Loss: 2.0492942333221436
Step 149, Loss: 2.0915591716766357
Step 150, Loss: 2.0457534790039062
Step 151, Loss: 2.2006893157958984
Step 152, Loss: 1.9881503582000732
Step 153, Loss: 2.019446611404419
Step 154, Loss: 1.9937324523925781
Step 155, Loss: 2.1105215549468994
Step 156, Loss: 1.9902215003967285
Step 157, Loss: 2.0084328651428223
