Step 1, Loss: 47.07228088378906
Step 2, Loss: 34.353370666503906
Step 3, Loss: 27.820558547973633
Step 4, Loss: 26.97119903564453
Step 5, Loss: 28.27829933166504
Step 6, Loss: 26.76476287841797
Step 7, Loss: 25.028942108154297
Step 8, Loss: 23.300390243530273
Step 9, Loss: 22.521739959716797
Step 10, Loss: 20.690418243408203
Step 11, Loss: 20.30392074584961
Step 12, Loss: 20.117868423461914
Step 13, Loss: 19.52766227722168
Step 14, Loss: 19.178356170654297
Step 15, Loss: 18.345022201538086
Step 16, Loss: 17.990802764892578
Step 17, Loss: 17.354467391967773
Step 18, Loss: 16.969934463500977
Step 19, Loss: 16.544410705566406
Step 20, Loss: 15.08426284790039
Step 21, Loss: 15.469663619995117
Step 22, Loss: 14.68937873840332
Step 23, Loss: 14.458724975585938
Step 24, Loss: 14.181981086730957
Step 25, Loss: 13.909786224365234
Step 26, Loss: 13.80964469909668
Step 27, Loss: 13.284326553344727
Step 28, Loss: 13.027422904968262
Step 29, Loss: 12.97014045715332
Step 30, Loss: 12.344097137451172
Step 31, Loss: 12.309825897216797
Step 32, Loss: 12.21727180480957
Step 33, Loss: 11.608040809631348
Step 34, Loss: 11.865854263305664
Step 35, Loss: 11.689125061035156
Step 36, Loss: 11.365289688110352
Step 37, Loss: 11.494321823120117
Step 38, Loss: 10.751107215881348
Step 39, Loss: 11.137219429016113
Step 40, Loss: 10.600765228271484
Step 41, Loss: 10.60097599029541
Step 42, Loss: 10.411378860473633
Step 43, Loss: 10.131375312805176
Step 44, Loss: 10.154223442077637
Step 45, Loss: 10.066375732421875
Step 46, Loss: 9.915067672729492
Step 47, Loss: 10.009099006652832
Step 48, Loss: 9.494316101074219
Step 49, Loss: 9.55714225769043
Step 50, Loss: 9.475821495056152
Step 51, Loss: 9.437104225158691
Step 52, Loss: 9.062198638916016
Step 53, Loss: 9.325370788574219
Step 54, Loss: 9.046725273132324
Step 55, Loss: 8.959070205688477
Step 56, Loss: 9.041182518005371
Step 57, Loss: 9.255343437194824
