Step 1, Loss: 40.75048828125
Step 2, Loss: 30.922130584716797
Step 3, Loss: 22.139101028442383
Step 4, Loss: 19.87164306640625
Step 5, Loss: 20.918903350830078
Step 6, Loss: 23.244272232055664
Step 7, Loss: 20.35174560546875
Step 8, Loss: 20.380199432373047
Step 9, Loss: 16.964710235595703
Step 10, Loss: 14.952186584472656
Step 11, Loss: 15.553226470947266
Step 12, Loss: 14.897143363952637
Step 13, Loss: 15.705888748168945
Step 14, Loss: 14.324461936950684
Step 15, Loss: 14.15097427368164
Step 16, Loss: 13.597127914428711
Step 17, Loss: 12.99843978881836
Step 18, Loss: 12.952154159545898
Step 19, Loss: 12.549201011657715
Step 20, Loss: 11.725393295288086
Step 21, Loss: 12.207988739013672
Step 22, Loss: 12.510618209838867
Step 23, Loss: 12.400542259216309
Step 24, Loss: 11.357406616210938
Step 25, Loss: 10.878374099731445
Step 26, Loss: 11.182554244995117
Step 27, Loss: 10.507852554321289
Step 28, Loss: 10.702226638793945
Step 29, Loss: 11.1575927734375
Step 30, Loss: 10.544427871704102
Step 31, Loss: 10.27537727355957
Step 32, Loss: 10.832514762878418
Step 33, Loss: 9.773996353149414
Step 34, Loss: 9.68191909790039
Step 35, Loss: 9.596899032592773
Step 36, Loss: 9.70156478881836
Step 37, Loss: 9.603372573852539
Step 38, Loss: 9.794367790222168
Step 39, Loss: 9.438891410827637
Step 40, Loss: 9.073925018310547
Step 41, Loss: 9.28405475616455
Step 42, Loss: 9.504241943359375
Step 43, Loss: 9.646224021911621
Step 44, Loss: 9.284087181091309
Step 45, Loss: 8.92766284942627
Step 46, Loss: 9.180866241455078
Step 47, Loss: 8.98240852355957
Step 48, Loss: 8.745108604431152
Step 49, Loss: 8.799818992614746
Step 50, Loss: 8.342464447021484
Step 51, Loss: 8.547836303710938
Step 52, Loss: 8.495335578918457
Step 53, Loss: 8.09364128112793
Step 54, Loss: 8.481605529785156
Step 55, Loss: 8.738093376159668
Step 56, Loss: 9.022281646728516
Step 57, Loss: 8.513157844543457
Step 58, Loss: 8.287641525268555
Step 59, Loss: 8.43093490600586
Step 60, Loss: 8.105866432189941
Step 61, Loss: 7.9297637939453125
Step 62, Loss: 8.153671264648438
Step 63, Loss: 7.903764724731445
Step 64, Loss: 8.049606323242188
Step 65, Loss: 8.13247299194336
Step 66, Loss: 7.79243278503418
Step 67, Loss: 7.841943740844727
Step 68, Loss: 7.727106094360352
Step 69, Loss: 7.566492557525635
Step 70, Loss: 7.959353446960449
Step 71, Loss: 7.269741058349609
Step 72, Loss: 7.639627456665039
Step 73, Loss: 7.916876792907715
Step 74, Loss: 7.807713985443115
Step 75, Loss: 7.525703430175781
Step 76, Loss: 7.544046878814697
Step 77, Loss: 7.283468246459961
Step 78, Loss: 7.326897144317627
Step 79, Loss: 7.546649932861328
Step 80, Loss: 7.6065168380737305
Step 81, Loss: 7.109251022338867
Step 82, Loss: 7.406968116760254
Step 83, Loss: 7.446717262268066
Step 84, Loss: 7.053293228149414
Step 85, Loss: 7.211910724639893
Step 86, Loss: 7.40944766998291
Step 87, Loss: 7.089120864868164
Step 88, Loss: 7.164966583251953
