Step 1, Loss: 30.30828285217285
Step 2, Loss: 22.357563018798828
Step 3, Loss: 17.69997787475586
Step 4, Loss: 16.589248657226562
Step 5, Loss: 18.146564483642578
Step 6, Loss: 18.978015899658203
Step 7, Loss: 17.356197357177734
Step 8, Loss: 16.985862731933594
Step 9, Loss: 14.432426452636719
Step 10, Loss: 14.41955280303955
Step 11, Loss: 14.209379196166992
Step 12, Loss: 14.529565811157227
Step 13, Loss: 14.508084297180176
Step 14, Loss: 13.603334426879883
Step 15, Loss: 13.023332595825195
Step 16, Loss: 12.872772216796875
Step 17, Loss: 12.660445213317871
Step 18, Loss: 12.66010856628418
Step 19, Loss: 11.998641967773438
Step 20, Loss: 11.380592346191406
Step 21, Loss: 11.831930160522461
Step 22, Loss: 11.280254364013672
Step 23, Loss: 11.349588394165039
Step 24, Loss: 10.784309387207031
Step 25, Loss: 10.693838119506836
Step 26, Loss: 10.875399589538574
Step 27, Loss: 10.16726303100586
Step 28, Loss: 10.825104713439941
Step 29, Loss: 10.40654182434082
Step 30, Loss: 10.323715209960938
Step 31, Loss: 10.274356842041016
Step 32, Loss: 10.24577808380127
Step 33, Loss: 9.791175842285156
Step 34, Loss: 10.134450912475586
Step 35, Loss: 9.820863723754883
Step 36, Loss: 9.498353958129883
Step 37, Loss: 9.467068672180176
Step 38, Loss: 9.94914722442627
Step 39, Loss: 9.294768333435059
Step 40, Loss: 9.48267936706543
Step 41, Loss: 9.639263153076172
Step 42, Loss: 9.356069564819336
Step 43, Loss: 9.40362548828125
Step 44, Loss: 9.130401611328125
Step 45, Loss: 8.791196823120117
Step 46, Loss: 8.902473449707031
Step 47, Loss: 8.825071334838867
Step 48, Loss: 8.782833099365234
Step 49, Loss: 8.732784271240234
Step 50, Loss: 8.249706268310547
Step 51, Loss: 8.426285743713379
Step 52, Loss: 8.257063865661621
Step 53, Loss: 7.968630790710449
Step 54, Loss: 7.994040489196777
Step 55, Loss: 8.498527526855469
Step 56, Loss: 8.457988739013672
Step 57, Loss: 8.233819961547852
Step 58, Loss: 8.310653686523438
Step 59, Loss: 8.218683242797852
Step 60, Loss: 8.000517845153809
Step 61, Loss: 7.862732887268066
Step 62, Loss: 7.92404842376709
Step 63, Loss: 7.780677318572998
Step 64, Loss: 8.072198867797852
Step 65, Loss: 7.882299423217773
Step 66, Loss: 7.83613395690918
Step 67, Loss: 7.807583808898926
Step 68, Loss: 7.529918193817139
Step 69, Loss: 7.823553085327148
Step 70, Loss: 7.896467685699463
Step 71, Loss: 7.474340915679932
Step 72, Loss: 7.558890342712402
Step 73, Loss: 7.793564796447754
Step 74, Loss: 7.672635078430176
Step 75, Loss: 7.479877471923828
Step 76, Loss: 7.562430381774902
Step 77, Loss: 7.582435607910156
Step 78, Loss: 7.163923263549805
Step 79, Loss: 7.399110794067383
Step 80, Loss: 7.393869400024414
Step 81, Loss: 6.9700775146484375
Step 82, Loss: 7.216744422912598
Step 83, Loss: 7.39179801940918
Step 84, Loss: 7.100545406341553
Step 85, Loss: 7.141364097595215
Step 86, Loss: 7.382862091064453
Step 87, Loss: 7.112157821655273
Step 88, Loss: 6.769285202026367
Step 89, Loss: 7.248640060424805
Step 90, Loss: 6.913487911224365
Step 91, Loss: 6.80817174911499
Step 92, Loss: 6.889871597290039
Step 93, Loss: 6.892906188964844
Step 94, Loss: 7.1325812339782715
Step 95, Loss: 6.767513275146484
Step 96, Loss: 6.846085548400879
Step 97, Loss: 6.968466758728027
Step 98, Loss: 6.948870658874512
Step 99, Loss: 6.871383190155029
Step 100, Loss: 6.718142986297607
Step 101, Loss: 6.697933197021484
Step 102, Loss: 6.793510437011719
Step 103, Loss: 6.810568809509277
Step 104, Loss: 6.799432277679443
Step 105, Loss: 6.709651947021484
Step 106, Loss: 6.554920196533203
Step 107, Loss: 6.718129634857178
Step 108, Loss: 6.390112400054932
Step 109, Loss: 6.2501115798950195
Step 110, Loss: 6.488901138305664
Step 111, Loss: 6.705670356750488
Step 112, Loss: 6.419369697570801
Step 113, Loss: 6.857030868530273
Step 114, Loss: 6.331533432006836
Step 115, Loss: 6.689408302307129
Step 116, Loss: 6.341835021972656
Step 117, Loss: 6.308002471923828
Step 118, Loss: 6.5119123458862305
Step 119, Loss: 6.458270072937012
Step 120, Loss: 6.504080295562744
Step 121, Loss: 6.316590309143066
Step 122, Loss: 6.108097076416016
Step 123, Loss: 6.193310737609863
Step 124, Loss: 6.310681343078613
Step 125, Loss: 6.165127277374268
Step 126, Loss: 6.463517665863037
Step 127, Loss: 6.474983215332031
Step 128, Loss: 6.229245185852051
Step 129, Loss: 6.2939252853393555
Step 130, Loss: 6.383033752441406
Step 131, Loss: 6.006409168243408
Step 132, Loss: 6.183357238769531
Step 133, Loss: 6.410152435302734
Step 134, Loss: 6.291384696960449
Step 135, Loss: 6.336147308349609
Step 136, Loss: 6.121495246887207
Step 137, Loss: 6.004280090332031
Step 138, Loss: 6.1031975746154785
Step 139, Loss: 6.2434539794921875
Step 140, Loss: 5.910693168640137
Step 141, Loss: 5.973422050476074
Step 142, Loss: 5.852517127990723
Step 143, Loss: 6.407867431640625
Step 144, Loss: 5.864992618560791
Step 145, Loss: 6.074321746826172
Step 146, Loss: 5.868256568908691
Step 147, Loss: 5.863513946533203
Step 148, Loss: 5.959181308746338
Step 149, Loss: 5.764169692993164
Step 150, Loss: 5.969841003417969
Step 151, Loss: 5.8496599197387695
Step 152, Loss: 6.017088890075684
